id,survey_year,course_mode,course_level,programme_id,programme,discipline_group_id,broad_discipline_group,discipline,appeared_female,appeared_total,passed_female,passed_total,first_class_passed_female,first_class_passed_total
218,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,94,Chemistry,Chemistry,31,40,15,29,0,0
218,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,174,Mathematics,Mathematics,46,59,46,58,46,58
218,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,107,Other Science,Computer Science,27,34,25,32,25,32
218,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,156,Microbiology,Micro-Biology,17,24,16,22,15,19
218,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,156,Microbiology,Micro-Biology,0,0,0,0,0,0
218,2015,Regular,Post Graduate,97,M.Ed. -Master of Education,12,Education,Education,0,0,0,0,0,0
218,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,9,Commerce,Commerce,0,0,0,0,0,0
218,2015,Regular,Post Graduate,93,M.Com.-Master of Commerce,9,Commerce,Commerce,79,122,79,120,0,0
218,2015,Regular,Post Graduate,98,M.F.M. -Master of Financial Management,56,Financial Management,Commerce,29,48,28,48,0,0
218,2015,Regular,Post Graduate,124,M.A.-Master of Arts,111,History,History & Archaeology,10,32,10,32,10,32
218,2015,Regular,Post Graduate,124,M.A.-Master of Arts,31,English,English,20,43,19,42,2,3
218,2015,Regular,Post Graduate,124,M.A.-Master of Arts,42,Kannada,Kannada,15,40,15,40,15,40
218,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,109,Economics,Economics,0,0,0,0,0,0
218,2015,Regular,Post Graduate,124,M.A.-Master of Arts,109,Economics,Economics,34,45,34,45,20,25
218,2015,Regular,Post Graduate,153,M.S.W.-Master of Social Work,117,Social Work,Social Work,19,57,18,56,0,0
218,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,101,Life Science,Zoology,0,0,0,0,0,0
250,2015,Regular,Post Graduate,153,M.S.W.-Master of Social Work,117,Social Work,Social Work,0,0,0,0,0,0
670,2015,Regular,PG Diploma,155,PG Diploma-Post Graduate Diploma,82,Physical Education,sports Coaching,1,4,1,4,1,4
670,2015,Regular,PG Diploma,155,PG Diploma-Post Graduate Diploma,82,Physical Education,Adventure Sports,0,0,0,0,0,0
670,2015,Regular,PG Diploma,155,PG Diploma-Post Graduate Diploma,82,Physical Education,Sports Management,0,0,0,0,0,0
670,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,82,Physical Education,Physical Education,0,5,0,0,0,0
505,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,174,Mathematics,Mathematics,0,3,0,2,0,0
505,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,94,Chemistry,Chemistry,0,6,0,4,0,3
505,2015,Regular,Post Graduate,130,M.C.A. -Master of Computer Applications,183,Computer Application,Computer Applications,12,41,12,35,12,35
505,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,60,Other Management,Commerce & Business Management,0,3,0,2,0,0
505,2015,Regular,Post Graduate,153,M.S.W.-Master of Social Work,117,Social Work,Extension,15,24,11,19,11,19
775,2015,Regular,Post Graduate,126,M.B.A.- Master of Business Administration,133,Business Administration,Management,0,0,0,0,0,0
775,2015,Regular,Under Graduate,46,B.C.A.-Bachelor of Computer Applications,183,Computer Application,IT & Application,0,0,0,0,0,0
775,2015,Regular,Under Graduate,17,B.Ed.-Bachelor of Education,12,Education,Educatiion,0,0,0,0,0,0
132,2015,Regular,Under Graduate,30,B.Sc.-Bachelor of Science,183,Computer Application,CA & IT,45,139,45,139,34,66
132,2015,Regular,Integrated,187,Integrated M.C.A.-Integrated Master of Computer Applications,183,Computer Application,DD BCA-MCA,0,0,0,0,0,0
132,2015,Regular,Post Graduate,130,M.C.A. -Master of Computer Applications,183,Computer Application,MCA,0,0,0,0,0,0
132,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,183,Computer Application,CS,2,11,2,11,2,11
132,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,183,Computer Application,ICT,0,0,0,0,0,0
132,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,183,Computer Application,IT,49,150,49,150,43,97
132,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,183,Computer Application,Tech-ITMS,3,14,3,14,3,14
132,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,183,Computer Application,CA & IT,99,250,99,250,78,127
132,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,12,Education,Education,19,38,19,38,19,38
572,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,104,Physics,Physics,1,6,1,6,1,6
572,2015,Regular,Integrated,86,Integrated Ph.D-Integrated Doctor of Philosophy,99,Geology,Earth Science,0,0,0,0,0,0
572,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,101,Life Science,Biology,4,5,4,5,4,5
572,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,101,Life Science,MS to PhD Switch over,0,0,0,0,0,0
572,2015,Regular,Integrated,86,Integrated Ph.D-Integrated Doctor of Philosophy,101,Life Science,Biology,0,0,0,0,0,0
572,2015,Regular,Post Graduate,151,M.S.-Master of Science,104,Physics,MS by Research,0,2,0,2,0,2
